index,question,answer
1077,Walking in the evening is very peaceful.,Walking in the evening is very peaceful.
1078,I walk to the gym to stay healthy.,I walk to the gym to stay healthy.
1079,Walk to the shop and buy some snacks.,Walk to the shop and buy some snacks.
1080,Walking in the mall is quite tiring.,Walking in the mall is quite tiring.
1081,I walk to the park to unwind.,I walk to the park to unwind.
1082,Walk to the bus stop and take bus 67.,Walk to the bus stop and take bus 67.
1083,Walking in the morning is very refreshing.,Walking in the morning is very refreshing.
1084,I walk to the coffee shop for breakfast.,I walk to the coffee shop for breakfast.
1085,Walk to the playground and play with the kids.,Walk to the playground and play with the kids.
1086,Walking in the rain is quite enjoyable.,Walking in the rain is quite enjoyable.
1087,I walk to the supermarket to buy groceries.,I walk to the supermarket to buy groceries.
1088,Walk to the park and do some exercise.,Walk to the park and do some exercise.
1089,Walking in the evening breeze is very nice.,Walking in the evening breeze is very nice.
1090,I walk to the bus interchange every day.,I walk to the bus interchange every day.
1091,Walk to the beach and enjoy the sunset.,Walk to the beach and enjoy the sunset.
1092,Walking in the park is very relaxing.,Walking in the park is very relaxing.
1093,I walk to the office to save on transport.,I walk to the office to save on transport.
1094,Walk to the hawker centre and eat dinner.,Walk to the food court and eat dinner.
1095,Walking in the rain without an umbrella is fun.,Walking in the rain without an umbrella is fun.
1096,I walk to the park to get some fresh air.,I walk to the park to get some fresh air.
1097,Walk to the MRT station and take the train.,Walk to the train station and take the train.
1098,Walking in the morning sun is very nice.,Walking in the morning sun is very nice.
1099,I walk to the market to buy fresh vegetables.,I walk to the market to buy fresh vegetables.
1100,Walk to the park and have a jog.,Walk to the park and have a jog.
1101,"Wah, the water so cold leh.","Wow, the water is so cold."
1102,I need to buy new shampoo liao.,I need to buy new shampoo already.
1103,You got bring towel or not?,Did you bring a towel?
1104,Don't forget to wash behind your ears ah.,Don't forget to wash behind your ears.
1105,I like to use cold water to bathe.,I like to use cold water to bathe.
1106,"The soap finish already, need to buy more.","The soap is finished, we need to buy more."
1107,I always take long showers one.,I always take long showers.
1108,Can you pass me the shampoo?,Can you pass me the shampoo?
1109,I prefer to bathe at night.,I prefer to bathe at night.
1110,The water pressure here very good.,The water pressure here is very good.
1111,I need to buy new soap liao.,I need to buy new soap already.
1112,Don't use too much hot water ah.,Don't use too much hot water.
1113,I like to use the lavender body wash.,I like to use the lavender body wash.
1114,Can you help me scrub my back?,Can you help me scrub my back?
1115,I always feel refreshed after a shower.,I always feel refreshed after a shower.
1116,"The bathroom floor very slippery, be careful.","The bathroom floor is very slippery, be careful."
1117,I need to buy a new loofah.,I need to buy a new loofah.
1118,I like to take hot showers in the morning.,I like to take hot showers in the morning.
1119,The shower gel almost finish liao.,The shower gel is almost finished.
1120,I always use conditioner after shampoo.,I always use conditioner after shampoo.
1121,Can you pass me the towel?,Can you pass me the towel?
1122,I like to listen to music while bathing.,I like to listen to music while bathing.
1123,The water heater spoil liao.,The water heater is broken.
1124,I need to buy more body wash.,I need to buy more body wash.
1125,I always feel sleepy after a hot shower.,I always feel sleepy after a hot shower.
1126,The bathroom light very dim leh.,The bathroom light is very dim.
1127,I like to use the mint shampoo.,I like to use the mint shampoo.
1128,Can you help me get the soap?,Can you help me get the soap?
1129,I always take a shower before bed.,I always take a shower before bed.
1130,"The water too hot, cannot tahan.","The water is too hot, I can't stand it."
1131,I need to buy a new shower cap.,I need to buy a new shower cap.
1132,I like to use the citrus body wash.,I like to use the citrus body wash.
1133,Can you pass me the conditioner?,Can you pass me the conditioner?
1134,I always feel clean after a shower.,I always feel clean after a shower.
1135,"The bathroom tiles very slippery, be careful.","The bathroom tiles are very slippery, be careful."
1136,I need to buy a new bath mat.,I need to buy a new bath mat.
1137,I like to take cold showers in the afternoon.,I like to take cold showers in the afternoon.
1138,The shampoo almost finish liao.,The shampoo is almost finished.
1139,I always use body lotion after shower.,I always use body lotion after a shower.
1140,Can you pass me the bathrobe?,Can you pass me the bathrobe?
1141,I like to sing while bathing.,I like to sing while bathing.
1142,The water heater not working leh.,The water heater is not working.
1143,I need to buy more shampoo.,I need to buy more shampoo.
1144,I always feel relaxed after a hot shower.,I always feel relaxed after a hot shower.
1145,The bathroom mirror very foggy.,The bathroom mirror is very foggy.
1146,I like to use the rose body wash.,I like to use the rose body wash.
1147,Can you help me get the towel?,Can you help me get the towel?
1148,I always take a shower after exercise.,I always take a shower after exercise.
1149,"The water too cold, cannot tahan.","The water is too cold, I can't stand it."
1150,I need to buy a new shower curtain.,I need to buy a new shower curtain.
1151,I like to use the vanilla body wash.,I like to use the vanilla body wash.
1152,Can you pass me the soap?,Can you pass me the soap?
1153,I always feel refreshed after a cold shower.,I always feel refreshed after a cold shower.
1154,"The bathroom floor very wet, be careful.","The bathroom floor is very wet, be careful."
1155,I need to buy a new bath towel.,I need to buy a new bath towel.
1156,I like to take hot showers in the evening.,I like to take hot showers in the evening.
1157,The body wash almost finish liao.,The body wash is almost finished.
1158,I always use face wash in the shower.,I always use face wash in the shower.
1159,Can you pass me the bath sponge?,Can you pass me the bath sponge?
1160,I like to listen to podcasts while bathing.,I like to listen to podcasts while bathing.
1161,The water heater spoil again.,The water heater is broken again.
1162,I need to buy more conditioner.,I need to buy more conditioner.
1163,I always feel sleepy after a cold shower.,I always feel sleepy after a cold shower.
1164,The bathroom light very bright leh.,The bathroom light is very bright.
1165,I like to use the coconut body wash.,I like to use the coconut body wash.
1166,Can you help me get the conditioner?,Can you help me get the conditioner?
1167,I always take a shower before going out.,I always take a shower before going out.
